id,city_id/id,name,type
zip_co_153007,l10n_co_base_location.city_co_15236,153007,rural
zip_co_153440,l10n_co_base_location.city_co_15189,153440,urban
zip_co_153447,l10n_co_base_location.city_co_15189,153447,rural
zip_co_150201,l10n_co_base_location.city_co_15204,150201,urban
zip_co_150208,l10n_co_base_location.city_co_15204,150208,rural
zip_co_150207,l10n_co_base_location.city_co_15204,150207,rural
zip_co_154860,l10n_co_base_location.city_co_15212,154860,urban
zip_co_154867,l10n_co_base_location.city_co_15212,154867,rural
zip_co_152060,l10n_co_base_location.city_co_15215,152060,urban
zip_co_152067,l10n_co_base_location.city_co_15215,152067,rural
zip_co_151040,l10n_co_base_location.city_co_15218,151040,urban
zip_co_151047,l10n_co_base_location.city_co_15218,151047,rural
zip_co_151420,l10n_co_base_location.city_co_15223,151420,urban
zip_co_151427,l10n_co_base_location.city_co_15223,151427,rural
zip_co_154060,l10n_co_base_location.city_co_15224,154060,urban
zip_co_154067,l10n_co_base_location.city_co_15224,154067,rural
zip_co_152230,l10n_co_base_location.city_co_15226,152230,urban
zip_co_152237,l10n_co_base_location.city_co_15226,152237,rural
zip_co_150467,l10n_co_base_location.city_co_15238,150467,rural
zip_co_150461,l10n_co_base_location.city_co_15238,150461,urban
zip_co_150468,l10n_co_base_location.city_co_15238,150468,rural
zip_co_150469,l10n_co_base_location.city_co_15238,150469,rural
zip_co_150462,l10n_co_base_location.city_co_15238,150462,urban
zip_co_150477,l10n_co_base_location.city_co_15238,150477,rural
zip_co_151280,l10n_co_base_location.city_co_15244,151280,urban
zip_co_151287,l10n_co_base_location.city_co_15244,151287,rural
zip_co_151240,l10n_co_base_location.city_co_15248,151240,urban
zip_co_151247,l10n_co_base_location.city_co_15248,151247,rural
zip_co_152250,l10n_co_base_location.city_co_15272,152250,urban
zip_co_152257,l10n_co_base_location.city_co_15272,152257,rural
zip_co_150601,l10n_co_base_location.city_co_15276,150601,urban
zip_co_150607,l10n_co_base_location.city_co_15276,150607,rural
zip_co_154220,l10n_co_base_location.city_co_15293,154220,urban
zip_co_154227,l10n_co_base_location.city_co_15293,154227,rural
zip_co_152020,l10n_co_base_location.city_co_15296,152020,urban
zip_co_152027,l10n_co_base_location.city_co_15296,152027,rural
zip_co_151440,l10n_co_base_location.city_co_15332,151440,urban
zip_co_151447,l10n_co_base_location.city_co_15332,151447,rural
zip_co_151448,l10n_co_base_location.city_co_15332,151448,rural
zip_co_152860,l10n_co_base_location.city_co_15299,152860,urban
zip_co_152867,l10n_co_base_location.city_co_15299,152867,rural
zip_co_151220,l10n_co_base_location.city_co_15317,151220,urban
zip_co_151227,l10n_co_base_location.city_co_15317,151227,rural
zip_co_153050,l10n_co_base_location.city_co_15322,153050,urban
zip_co_153057,l10n_co_base_location.city_co_15322,153057,rural
zip_co_153040,l10n_co_base_location.city_co_15325,153040,urban
zip_co_153047,l10n_co_base_location.city_co_15325,153047,rural
zip_co_152240,l10n_co_base_location.city_co_15362,152240,urban
zip_co_152247,l10n_co_base_location.city_co_15362,152247,rural
zip_co_153601,l10n_co_base_location.city_co_15367,153601,urban
zip_co_153608,l10n_co_base_location.city_co_15367,153608,rural
zip_co_153607,l10n_co_base_location.city_co_15367,153607,rural
zip_co_150840,l10n_co_base_location.city_co_15368,150840,urban
